Tarih,TP_DK_CHF_A_YTL
20-09-2016,3.0256
21-09-2016,3.0348
22-09-2016,3.0358
23-09-2016,3.0327
26-09-2016,3.0303
27-09-2016,3.0734
28-09-2016,3.0591
29-09-2016,3.0562
30-09-2016,3.0785
03-10-2016,3.0839
04-10-2016,3.0839
05-10-2016,3.0868
06-10-2016,3.1176
07-10-2016,3.1147
10-10-2016,3.0996
11-10-2016,3.1141
12-10-2016,3.117
13-10-2016,3.1074
14-10-2016,3.1247
17-10-2016,3.1147
18-10-2016,3.1226
19-10-2016,3.1214
20-10-2016,3.1052
21-10-2016,3.0943
24-10-2016,3.0832
25-10-2016,3.0845
26-10-2016,3.0872
27-10-2016,3.0954
28-10-2016,3.1152
31-10-2016,3.1152
01-11-2016,3.1307
02-11-2016,3.1337
03-11-2016,3.1933
04-11-2016,3.1944
07-11-2016,3.2119
08-11-2016,3.2189
09-11-2016,3.247
10-11-2016,3.2687
11-11-2016,3.2444
14-11-2016,3.2972
15-11-2016,3.2887
16-11-2016,3.2766
17-11-2016,3.2901
18-11-2016,3.3008
21-11-2016,3.3466
22-11-2016,3.3362
23-11-2016,3.318
24-11-2016,3.3383
25-11-2016,3.3403
28-11-2016,3.3852
29-11-2016,3.3745
30-11-2016,3.3634
01-12-2016,3.362
02-12-2016,3.3924
05-12-2016,3.4609
06-12-2016,3.48
07-12-2016,3.4783
08-12-2016,3.3886
09-12-2016,3.3397
12-12-2016,3.3881
13-12-2016,3.452
14-12-2016,3.4188
15-12-2016,3.4329
16-12-2016,3.4201
19-12-2016,3.3907
20-12-2016,3.3994
21-12-2016,3.4054
22-12-2016,3.4084
23-12-2016,3.4116
26-12-2016,3.4116
27-12-2016,3.4075
28-12-2016,3.409
29-12-2016,3.4277
30-12-2016,3.4393
02-01-2017,3.4454
03-01-2017,3.4522
04-01-2017,3.4744
05-01-2017,3.4751
06-01-2017,3.5184
09-01-2017,3.5635
10-01-2017,3.6276
11-01-2017,3.7043
12-01-2017,3.7739
13-01-2017,3.8023
16-01-2017,3.759
17-01-2017,3.7092
18-01-2017,3.7573
19-01-2017,3.7581
20-01-2017,3.7618
23-01-2017,3.7835
24-01-2017,3.7621
25-01-2017,3.7454
26-01-2017,3.7945
27-01-2017,3.8296
30-01-2017,3.8657
31-01-2017,3.8272
01-02-2017,3.798
02-02-2017,3.804
03-02-2017,3.7659
06-02-2017,3.7522
07-02-2017,3.6904
08-02-2017,3.7073
09-02-2017,3.7361
10-02-2017,3.7094
13-02-2017,3.6576
14-02-2017,3.6677
15-02-2017,3.6255
16-02-2017,3.6089
17-02-2017,3.6531
20-02-2017,3.6613
21-02-2017,3.6017
22-02-2017,3.5829
23-02-2017,3.5578
24-02-2017,3.5305
27-02-2017,3.5411
28-02-2017,3.5549
01-03-2017,3.5782
02-03-2017,3.5899
03-03-2017,3.6336
06-03-2017,3.6669
07-03-2017,3.6692
08-03-2017,3.628
09-03-2017,3.6461
10-03-2017,3.6884
13-03-2017,3.6922
14-03-2017,3.6984
15-03-2017,3.706
16-03-2017,3.6893
17-03-2017,3.666
20-03-2017,3.6119
21-03-2017,3.6271
22-03-2017,3.616
23-03-2017,3.6424
24-03-2017,3.6304
27-03-2017,3.637
28-03-2017,3.6395
29-03-2017,3.6616
30-03-2017,3.6545
31-03-2017,3.6437
03-04-2017,3.6255
04-04-2017,3.6203
05-04-2017,3.625
06-04-2017,3.6591
07-04-2017,3.6835
10-04-2017,3.691
11-04-2017,3.6826
12-04-2017,3.6791
13-04-2017,3.642
14-04-2017,3.6328
17-04-2017,3.6543
18-04-2017,3.6353
19-04-2017,3.666
20-04-2017,3.6654
21-04-2017,3.645
24-04-2017,3.6374
25-04-2017,3.6018
26-04-2017,3.5927
27-04-2017,3.5965
28-04-2017,3.5736
02-05-2017,3.5706
03-05-2017,3.5456
04-05-2017,3.5571
05-05-2017,3.5602
08-05-2017,3.5922
09-05-2017,3.5668
10-05-2017,3.5793
11-05-2017,3.5668
12-05-2017,3.5374
15-05-2017,3.5498
16-05-2017,3.551
17-05-2017,3.5666
18-05-2017,3.6049
22-05-2017,3.6802
23-05-2017,3.6507
24-05-2017,3.6593
25-05-2017,3.6426
26-05-2017,3.6524
29-05-2017,3.6613
30-05-2017,3.6616
31-05-2017,3.6379
01-06-2017,3.6223
02-06-2017,3.6338
05-06-2017,3.6241
06-06-2017,3.6269
07-06-2017,3.6537
08-06-2017,3.6375
09-06-2017,3.6566
12-06-2017,3.6181
13-06-2017,3.6279
14-06-2017,3.6263
15-06-2017,3.6162
16-06-2017,3.5908
19-06-2017,3.597
20-06-2017,3.5956
21-06-2017,3.607
22-06-2017,3.6197
23-06-2017,3.6069
28-06-2017,3.5966
29-06-2017,3.6587
30-06-2017,3.6524
03-07-2017,3.6613
04-07-2017,3.6664
05-07-2017,3.6724
06-07-2017,3.6962
07-07-2017,3.7448
10-07-2017,3.7641
11-07-2017,3.7246
12-07-2017,3.7414
13-07-2017,3.7314
14-07-2017,3.6898
17-07-2017,3.6675
18-07-2017,3.6638
19-07-2017,3.6797
20-07-2017,3.6869
21-07-2017,3.6783
24-07-2017,3.7064
25-07-2017,3.7375
26-07-2017,3.7468
27-07-2017,3.7119
28-07-2017,3.6787
31-07-2017,3.6304
01-08-2017,3.6265
02-08-2017,3.6317
03-08-2017,3.6389
04-08-2017,3.6421
07-08-2017,3.6369
08-08-2017,3.6202
09-08-2017,3.6178
10-08-2017,3.6584
11-08-2017,3.6494
14-08-2017,3.6753
15-08-2017,3.638
16-08-2017,3.6191
17-08-2017,3.6159
18-08-2017,3.6323
21-08-2017,3.6528
22-08-2017,3.6232
23-08-2017,3.6133
24-08-2017,3.6023
25-08-2017,3.5956
28-08-2017,3.5998
29-08-2017,3.6019
31-08-2017,3.6277
05-09-2017,3.6277
06-09-2017,3.5777
07-09-2017,3.5939
08-09-2017,3.5789
11-09-2017,3.5913
12-09-2017,3.569
13-09-2017,3.5712
14-09-2017,3.5701
15-09-2017,3.5662
18-09-2017,3.5612
19-09-2017,3.5899
20-09-2017,3.6203
21-09-2017,3.609
22-09-2017,3.5987
25-09-2017,3.5901
26-09-2017,3.6064
27-09-2017,3.6331
28-09-2017,3.652
29-09-2017,3.6605
02-10-2017,3.6528
