Tarih,TP_DK_CHF_S_YTL
20-09-2016,3.0451
21-09-2016,3.0542
22-09-2016,3.0553
23-09-2016,3.0521
26-09-2016,3.0498
27-09-2016,3.0931
28-09-2016,3.0787
29-09-2016,3.0758
30-09-2016,3.0983
03-10-2016,3.1037
04-10-2016,3.1037
05-10-2016,3.1066
06-10-2016,3.1376
07-10-2016,3.1347
10-10-2016,3.1195
11-10-2016,3.1341
12-10-2016,3.137
13-10-2016,3.1274
14-10-2016,3.1448
17-10-2016,3.1347
18-10-2016,3.1426
19-10-2016,3.1414
20-10-2016,3.1251
21-10-2016,3.1142
24-10-2016,3.103
25-10-2016,3.1043
26-10-2016,3.107
27-10-2016,3.1153
28-10-2016,3.1352
31-10-2016,3.1352
01-11-2016,3.1508
02-11-2016,3.1539
03-11-2016,3.2138
04-11-2016,3.2149
07-11-2016,3.2325
08-11-2016,3.2396
09-11-2016,3.2678
10-11-2016,3.2897
11-11-2016,3.2652
14-11-2016,3.3184
15-11-2016,3.3098
16-11-2016,3.2977
17-11-2016,3.3112
18-11-2016,3.322
21-11-2016,3.3681
22-11-2016,3.3576
23-11-2016,3.3393
24-11-2016,3.3597
25-11-2016,3.3618
28-11-2016,3.4069
29-11-2016,3.3961
30-11-2016,3.385
01-12-2016,3.3836
02-12-2016,3.4142
05-12-2016,3.4832
06-12-2016,3.5024
07-12-2016,3.5006
08-12-2016,3.4104
09-12-2016,3.3611
12-12-2016,3.4098
13-12-2016,3.4741
14-12-2016,3.4407
15-12-2016,3.4549
16-12-2016,3.442
19-12-2016,3.4124
20-12-2016,3.4212
21-12-2016,3.4273
22-12-2016,3.4302
23-12-2016,3.4335
26-12-2016,3.4335
27-12-2016,3.4294
28-12-2016,3.4309
29-12-2016,3.4498
30-12-2016,3.4614
02-01-2017,3.4675
03-01-2017,3.4744
04-01-2017,3.4967
05-01-2017,3.4974
06-01-2017,3.541
09-01-2017,3.5864
10-01-2017,3.6509
11-01-2017,3.7281
12-01-2017,3.7981
13-01-2017,3.8267
16-01-2017,3.7832
17-01-2017,3.733
18-01-2017,3.7814
19-01-2017,3.7823
20-01-2017,3.7859
23-01-2017,3.8078
24-01-2017,3.7862
25-01-2017,3.7694
26-01-2017,3.8189
27-01-2017,3.8542
30-01-2017,3.8905
31-01-2017,3.8517
01-02-2017,3.8224
02-02-2017,3.8284
03-02-2017,3.79
