Tarih,TP_DK_EUR_A_YTL
20-09-2016,3.3199
21-09-2016,3.3282
22-09-2016,3.3152
23-09-2016,3.31
26-09-2016,3.3044
27-09-2016,3.3546
28-09-2016,3.3401
29-09-2016,3.3362
30-09-2016,3.3608
03-10-2016,3.3548
04-10-2016,3.3743
05-10-2016,3.3834
06-10-2016,3.4264
07-10-2016,3.4134
10-10-2016,3.3944
11-10-2016,3.4173
12-10-2016,3.42
13-10-2016,3.3983
14-10-2016,3.4121
17-10-2016,3.3999
18-10-2016,3.4015
19-10-2016,3.406
20-10-2016,3.3827
21-10-2016,3.3657
24-10-2016,3.3478
25-10-2016,3.3454
26-10-2016,3.3488
27-10-2016,3.3605
28-10-2016,3.3834
31-10-2016,3.3834
01-11-2016,3.3993
02-11-2016,3.4059
03-11-2016,3.448
04-11-2016,3.4543
07-11-2016,3.4794
08-11-2016,3.4878
09-11-2016,3.5067
10-11-2016,3.5412
11-11-2016,3.4983
14-11-2016,3.548
15-11-2016,3.5307
16-11-2016,3.5262
17-11-2016,3.5421
18-11-2016,3.5496
21-11-2016,3.5899
22-11-2016,3.5867
23-11-2016,3.57
24-11-2016,3.5929
25-11-2016,3.5938
28-11-2016,3.6434
29-11-2016,3.637
30-11-2016,3.6253
01-12-2016,3.6364
02-12-2016,3.662
05-12-2016,3.7376
06-12-2016,3.7579
07-12-2016,3.7764
08-12-2016,3.6775
09-12-2016,3.6304
12-12-2016,3.6633
13-12-2016,3.722
14-12-2016,3.6894
15-12-2016,3.701
16-12-2016,3.6845
19-12-2016,3.651
20-12-2016,3.6535
21-12-2016,3.647
22-12-2016,3.6524
23-12-2016,3.6622
26-12-2016,3.6647
27-12-2016,3.6639
28-12-2016,3.6711
29-12-2016,3.6901
30-12-2016,3.6939
02-01-2017,3.7099
03-01-2017,3.7086
04-01-2017,3.7278
05-01-2017,3.7291
06-01-2017,3.7808
09-01-2017,3.827
10-01-2017,3.8986
11-01-2017,3.9852
12-01-2017,4.0591
13-01-2017,4.089
16-01-2017,4.0419
17-01-2017,3.9863
18-01-2017,4.0374
19-01-2017,4.0364
20-01-2017,4.042
23-01-2017,4.0684
24-01-2017,4.0447
25-01-2017,4.03
26-01-2017,4.0836
27-01-2017,4.1145
30-01-2017,4.1421
31-01-2017,4.0983
01-02-2017,4.0558
02-02-2017,4.0733
03-02-2017,4.0338
06-02-2017,4.0212
07-02-2017,3.954
08-02-2017,3.9599
09-02-2017,3.9858
10-02-2017,3.9594
13-02-2017,3.9116
14-02-2017,3.9228
15-02-2017,3.8759
16-02-2017,3.8518
17-02-2017,3.9003
20-02-2017,3.9049
21-02-2017,3.8457
22-02-2017,3.8208
23-02-2017,3.7942
24-02-2017,3.7719
27-02-2017,3.7804
28-02-2017,3.7963
01-03-2017,3.8222
02-03-2017,3.8289
03-03-2017,3.8769
06-03-2017,3.9177
07-03-2017,3.9339
08-03-2017,3.8979
09-03-2017,3.91
10-03-2017,3.959
13-03-2017,3.9728
14-03-2017,3.9943
15-03-2017,3.9856
16-03-2017,3.9634
17-03-2017,3.936
20-03-2017,3.8812
21-03-2017,3.9023
22-03-2017,3.8964
23-03-2017,3.914
24-03-2017,3.8973
27-03-2017,3.9051
28-03-2017,3.9045
29-03-2017,3.9283
30-03-2017,3.9268
31-03-2017,3.9083
03-04-2017,3.8851
04-04-2017,3.8789
05-04-2017,3.8807
06-04-2017,3.9248
07-04-2017,3.9536
10-04-2017,3.9568
11-04-2017,3.9431
12-04-2017,3.9393
13-04-2017,3.9002
14-04-2017,3.8908
17-04-2017,3.9083
18-04-2017,3.8889
19-04-2017,3.9264
20-04-2017,3.9271
21-04-2017,3.9123
24-04-2017,3.8979
25-04-2017,3.8997
26-04-2017,3.9001
27-04-2017,3.9093
28-04-2017,3.8787
02-05-2017,3.8744
03-05-2017,3.8577
04-05-2017,3.8546
05-05-2017,3.8677
08-05-2017,3.9023
09-05-2017,3.886
10-05-2017,3.9178
11-05-2017,3.914
12-05-2017,3.8858
15-05-2017,3.8974
16-05-2017,3.8946
17-05-2017,3.9142
18-05-2017,3.9457
22-05-2017,4.0203
23-05-2017,3.9879
24-05-2017,4.008
25-05-2017,3.9859
26-05-2017,3.9957
29-05-2017,3.998
30-05-2017,3.9977
31-05-2017,3.9744
01-06-2017,3.9558
02-06-2017,3.966
05-06-2017,3.9573
06-06-2017,3.9475
07-06-2017,3.9743
08-06-2017,3.9562
09-06-2017,3.981
12-06-2017,3.9378
13-06-2017,3.9478
14-06-2017,3.9424
15-06-2017,3.9381
16-06-2017,3.9161
19-06-2017,3.9224
20-06-2017,3.9213
21-06-2017,3.9284
22-06-2017,3.938
23-06-2017,3.9283
28-06-2017,3.91
29-06-2017,4.0015
30-06-2017,4.003
03-07-2017,4.0126
04-07-2017,4.0188
05-07-2017,4.0306
06-07-2017,4.0587
07-07-2017,4.1148
10-07-2017,4.1437
11-07-2017,4.1072
12-07-2017,4.137
13-07-2017,4.1266
14-07-2017,4.069
17-07-2017,4.0644
18-07-2017,4.0517
19-07-2017,4.0698
20-07-2017,4.0649
21-07-2017,4.0612
24-07-2017,4.111
25-07-2017,4.1286
26-07-2017,4.1471
27-07-2017,4.139
28-07-2017,4.1316
31-07-2017,4.1316
01-08-2017,4.1325
02-08-2017,4.1558
03-08-2017,4.1778
04-08-2017,4.1904
07-08-2017,4.192
08-08-2017,4.1644
09-08-2017,4.1656
10-08-2017,4.1537
11-08-2017,4.1431
14-08-2017,4.1663
15-08-2017,4.1617
16-08-2017,4.1439
17-08-2017,4.1352
18-08-2017,4.125
21-08-2017,4.1333
22-08-2017,4.1242
23-08-2017,4.117
24-08-2017,4.1183
25-08-2017,4.1021
28-08-2017,4.1046
29-08-2017,4.1097
31-08-2017,4.143
05-09-2017,4.143
06-09-2017,4.0889
07-09-2017,4.1047
08-09-2017,4.0919
11-09-2017,4.1085
12-09-2017,4.0796
13-09-2017,4.0969
14-09-2017,4.114
15-09-2017,4.1098
18-09-2017,4.0963
19-09-2017,4.1249
20-09-2017,4.1835
21-09-2017,4.1725
22-09-2017,4.1775
25-09-2017,4.1763
26-09-2017,4.1818
27-09-2017,4.1747
28-09-2017,4.1891
29-09-2017,4.2023
02-10-2017,4.1924
03-10-2017,4.1992
04-10-2017,4.2007
05-10-2017,4.1924
06-10-2017,4.1964
09-10-2017,4.2168
10-10-2017,4.3383
11-10-2017,4.3375
12-10-2017,4.3451
13-10-2017,4.3226
16-10-2017,4.3142
17-10-2017,4.2933
18-10-2017,4.2989
19-10-2017,4.3184
20-10-2017,4.3258
23-10-2017,4.3219
24-10-2017,4.3445
25-10-2017,4.3637
26-10-2017,4.3909
27-10-2017,4.4468
30-10-2017,4.4378
31-10-2017,4.3848
01-11-2017,4.3942
02-11-2017,4.4326
03-11-2017,4.4339
06-11-2017,4.4504
07-11-2017,4.4787
08-11-2017,4.4609
09-11-2017,4.5014
10-11-2017,4.4742
13-11-2017,4.4998
