Tarih,TP_DK_EUR_S_YTL
14-03-2022,16.4053
15-03-2022,16.1918
16-03-2022,16.2462
17-03-2022,16.1545
18-03-2022,16.2357
21-03-2022,16.3555
22-03-2022,16.3963
23-03-2022,16.3028
24-03-2022,16.3279
25-03-2022,16.3118
28-03-2022,16.343
29-03-2022,16.2913
30-03-2022,16.3411
31-03-2022,16.338
01-04-2022,16.3148
04-04-2022,16.2437
05-04-2022,16.2087
06-04-2022,16.1552
07-04-2022,16.0833
08-04-2022,16.0812
11-04-2022,16.03
12-04-2022,16.0787
13-04-2022,15.9617
14-04-2022,15.7997
15-04-2022,15.9401
18-04-2022,15.8341
19-04-2022,15.8196
20-04-2022,15.8295
21-04-2022,15.8919
22-04-2022,16.0197
25-04-2022,15.9304
26-04-2022,15.8547
27-04-2022,15.8063
28-04-2022,15.7224
29-04-2022,15.5728
05-05-2022,15.642
06-05-2022,15.7337
09-05-2022,15.743
10-05-2022,15.7871
11-05-2022,16.0663
12-05-2022,16.1621
13-05-2022,16.0643
16-05-2022,16.0744
17-05-2022,16.2458
18-05-2022,16.5926
20-05-2022,16.7727
23-05-2022,16.8786
24-05-2022,16.9002
25-05-2022,17.2565
26-05-2022,17.3973
27-05-2022,17.5417
30-05-2022,17.5585
31-05-2022,17.6336
01-06-2022,17.6019
02-06-2022,17.6233
03-06-2022,17.6017
06-06-2022,17.7385
07-06-2022,17.8105
08-06-2022,17.873
09-06-2022,18.326
10-06-2022,18.4633
13-06-2022,18.125
14-06-2022,18.0678
15-06-2022,18.0379
16-06-2022,18.1144
17-06-2022,18.0164
20-06-2022,18.2057
21-06-2022,18.2547
22-06-2022,18.3128
23-06-2022,18.247
24-06-2022,18.2784
27-06-2022,18.3083
28-06-2022,17.6375
29-06-2022,17.6175
30-06-2022,17.5536
01-07-2022,17.4014
04-07-2022,17.5018
05-07-2022,17.5638
06-07-2022,17.5351
07-07-2022,17.61
08-07-2022,17.6305
13-07-2022,17.6305
14-07-2022,17.5007
18-07-2022,17.5292
19-07-2022,17.7402
20-07-2022,17.9883
21-07-2022,17.9873
22-07-2022,17.9984
25-07-2022,18.0412
26-07-2022,18.2255
27-07-2022,18.1927
28-07-2022,18.1613
29-07-2022,18.2504
01-08-2022,18.3307
02-08-2022,18.3975
03-08-2022,18.3833
04-08-2022,18.2922
05-08-2022,18.2946
08-08-2022,18.3845
09-08-2022,18.3179
10-08-2022,18.3659
11-08-2022,18.3742
