Tarih,TP_DK_GBP_A_YTL
20-09-2016,3.8748
21-09-2016,3.8623
22-09-2016,3.8557
23-09-2016,3.8437
26-09-2016,3.8258
27-09-2016,3.8536
28-09-2016,3.8462
29-09-2016,3.8654
30-09-2016,3.8909
03-10-2016,3.8817
04-10-2016,3.8615
05-10-2016,3.8599
06-10-2016,3.8771
07-10-2016,3.8694
10-10-2016,3.7761
11-10-2016,3.7875
12-10-2016,3.7782
13-10-2016,3.771
14-10-2016,3.7668
17-10-2016,3.7646
18-10-2016,3.7602
19-10-2016,3.7853
20-10-2016,3.7778
21-10-2016,3.7581
24-10-2016,3.7515
25-10-2016,3.7533
26-10-2016,3.7578
27-10-2016,3.7485
28-10-2016,3.7844
31-10-2016,3.7844
01-11-2016,3.7712
02-11-2016,3.7857
03-11-2016,3.8122
04-11-2016,3.8451
07-11-2016,3.9042
08-11-2016,3.9062
09-11-2016,3.9342
10-11-2016,3.9532
11-11-2016,3.9719
14-11-2016,4.103
15-11-2016,4.0939
16-11-2016,4.0632
17-11-2016,4.1118
18-11-2016,4.1192
21-11-2016,4.1911
22-11-2016,4.1586
23-11-2016,4.1805
24-11-2016,4.185
25-11-2016,4.2289
28-11-2016,4.2759
29-11-2016,4.2523
30-11-2016,4.2473
01-12-2016,4.2546
02-12-2016,4.3235
05-12-2016,4.4162
06-12-2016,4.4839
07-12-2016,4.4696
08-12-2016,4.3212
09-12-2016,4.2584
12-12-2016,4.3412
13-12-2016,4.4225
14-12-2016,4.3997
15-12-2016,4.3966
16-12-2016,4.3977
19-12-2016,4.3371
20-12-2016,4.3486
21-12-2016,4.336
22-12-2016,4.3282
23-12-2016,4.3203
26-12-2016,4.2962
27-12-2016,4.2963
28-12-2016,4.304
29-12-2016,4.3231
30-12-2016,4.3222
02-01-2017,4.3189
03-01-2017,4.3488
04-01-2017,4.384
05-01-2017,4.3794
06-01-2017,4.4154
09-01-2017,4.4651
10-01-2017,4.4977
11-01-2017,4.5601
12-01-2017,4.6676
13-01-2017,4.707
16-01-2017,4.6231
17-01-2017,4.5246
18-01-2017,4.5881
19-01-2017,4.6443
20-01-2017,4.6617
23-01-2017,4.6942
24-01-2017,4.6809
25-01-2017,4.6722
26-01-2017,4.7634
27-01-2017,4.8341
30-01-2017,4.8548
31-01-2017,4.7957
01-02-2017,4.7122
02-02-2017,4.7475
03-02-2017,4.7243
06-02-2017,4.6699
07-02-2017,4.5819
08-02-2017,4.59
09-02-2017,4.6668
10-02-2017,4.6392
13-02-2017,4.5803
14-02-2017,4.6063
15-02-2017,4.5543
16-02-2017,4.5299
17-02-2017,4.5779
20-02-2017,4.5568
21-02-2017,4.5018
22-02-2017,4.4902
23-02-2017,4.492
24-02-2017,4.4462
27-02-2017,4.4699
28-02-2017,4.4479
01-03-2017,4.4777
02-03-2017,4.4819
03-03-2017,4.5127
06-03-2017,4.5492
07-03-2017,4.5452
08-03-2017,4.4902
09-03-2017,4.4988
10-03-2017,4.5531
13-03-2017,4.5479
14-03-2017,4.5601
15-03-2017,4.5387
16-03-2017,4.546
17-03-2017,4.4945
20-03-2017,4.4532
21-03-2017,4.4912
22-03-2017,4.4761
23-03-2017,4.5123
24-03-2017,4.5066
27-03-2017,4.5109
28-03-2017,4.5102
29-03-2017,4.5401
30-03-2017,4.5184
31-03-2017,4.5169
03-04-2017,4.5225
04-04-2017,4.5447
05-04-2017,4.5244
06-04-2017,4.5762
07-04-2017,4.6167
10-04-2017,4.6207
11-04-2017,4.6124
12-04-2017,4.6068
13-04-2017,4.5857
14-04-2017,4.5788
17-04-2017,4.5968
18-04-2017,4.5802
19-04-2017,4.6365
20-04-2017,4.6914
21-04-2017,4.6556
24-04-2017,4.6509
25-04-2017,4.5952
26-04-2017,4.5827
27-04-2017,4.5888
28-04-2017,4.5796
02-05-2017,4.5835
03-05-2017,4.5498
04-05-2017,4.5554
05-05-2017,4.5558
08-05-2017,4.5967
09-05-2017,4.5932
10-05-2017,4.6385
11-05-2017,4.6548
12-05-2017,4.6074
15-05-2017,4.604
16-05-2017,4.5882
17-05-2017,4.5665
18-05-2017,4.5935
22-05-2017,4.6898
23-05-2017,4.6193
24-05-2017,4.6193
25-05-2017,4.6169
26-05-2017,4.6079
29-05-2017,4.5782
30-05-2017,4.5817
31-05-2017,4.5733
01-06-2017,4.5212
02-06-2017,4.5332
05-06-2017,4.529
06-06-2017,4.513
07-06-2017,4.554
08-06-2017,4.5314
09-06-2017,4.5802
12-06-2017,4.4726
13-06-2017,4.4662
14-06-2017,4.4608
15-06-2017,4.473
16-06-2017,4.4489
19-06-2017,4.4771
20-06-2017,4.4731
21-06-2017,4.4619
22-06-2017,4.4565
23-06-2017,4.4486
28-06-2017,4.4472
