Tarih,TP_DK_GBP_S_YTL
20-09-2016,3.895
21-09-2016,3.8825
22-09-2016,3.8758
23-09-2016,3.8637
26-09-2016,3.8458
27-09-2016,3.8737
28-09-2016,3.8663
29-09-2016,3.8855
30-09-2016,3.9112
03-10-2016,3.9019
04-10-2016,3.8816
05-10-2016,3.88
06-10-2016,3.8973
07-10-2016,3.8895
10-10-2016,3.7957
11-10-2016,3.8073
12-10-2016,3.7979
13-10-2016,3.7907
14-10-2016,3.7865
17-10-2016,3.7842
18-10-2016,3.7798
19-10-2016,3.8051
20-10-2016,3.7975
21-10-2016,3.7777
24-10-2016,3.7711
25-10-2016,3.7729
26-10-2016,3.7774
27-10-2016,3.7681
28-10-2016,3.8041
31-10-2016,3.8041
01-11-2016,3.7909
02-11-2016,3.8054
03-11-2016,3.8321
04-11-2016,3.8651
07-11-2016,3.9246
08-11-2016,3.9266
09-11-2016,3.9548
10-11-2016,3.9738
11-11-2016,3.9926
14-11-2016,4.1244
15-11-2016,4.1153
16-11-2016,4.0844
17-11-2016,4.1332
18-11-2016,4.1407
21-11-2016,4.213
22-11-2016,4.1803
23-11-2016,4.2023
24-11-2016,4.2068
25-11-2016,4.2509
28-11-2016,4.2982
29-11-2016,4.2745
30-11-2016,4.2695
01-12-2016,4.2767
02-12-2016,4.346
05-12-2016,4.4392
06-12-2016,4.5073
07-12-2016,4.4929
08-12-2016,4.3437
09-12-2016,4.2806
12-12-2016,4.3638
13-12-2016,4.4456
14-12-2016,4.4226
15-12-2016,4.4196
16-12-2016,4.4207
19-12-2016,4.3597
20-12-2016,4.3713
21-12-2016,4.3586
22-12-2016,4.3508
23-12-2016,4.3428
26-12-2016,4.3186
27-12-2016,4.3187
28-12-2016,4.3265
29-12-2016,4.3457
30-12-2016,4.3448
02-01-2017,4.3414
03-01-2017,4.3715
04-01-2017,4.4068
05-01-2017,4.4022
06-01-2017,4.4384
09-01-2017,4.4884
10-01-2017,4.5211
11-01-2017,4.5838
12-01-2017,4.6919
13-01-2017,4.7316
16-01-2017,4.6472
17-01-2017,4.5482
18-01-2017,4.612
19-01-2017,4.6685
20-01-2017,4.686
23-01-2017,4.7187
24-01-2017,4.7053
25-01-2017,4.6966
26-01-2017,4.7882
27-01-2017,4.8593
30-01-2017,4.8802
31-01-2017,4.8207
01-02-2017,4.7367
02-02-2017,4.7723
03-02-2017,4.7489
06-02-2017,4.6943
07-02-2017,4.6058
08-02-2017,4.6139
09-02-2017,4.6911
10-02-2017,4.6633
13-02-2017,4.6042
14-02-2017,4.6303
15-02-2017,4.5781
16-02-2017,4.5535
17-02-2017,4.6017
20-02-2017,4.5806
21-02-2017,4.5253
22-02-2017,4.5136
23-02-2017,4.5154
24-02-2017,4.4694
27-02-2017,4.4932
28-02-2017,4.4711
01-03-2017,4.5011
02-03-2017,4.5053
03-03-2017,4.5362
06-03-2017,4.573
07-03-2017,4.5689
08-03-2017,4.5136
09-03-2017,4.5222
10-03-2017,4.5768
13-03-2017,4.5716
14-03-2017,4.5839
15-03-2017,4.5623
16-03-2017,4.5697
17-03-2017,4.5179
20-03-2017,4.4764
21-03-2017,4.5146
22-03-2017,4.4994
23-03-2017,4.5358
24-03-2017,4.5301
27-03-2017,4.5344
28-03-2017,4.5337
29-03-2017,4.5638
30-03-2017,4.542
31-03-2017,4.5404
03-04-2017,4.5461
04-04-2017,4.5684
05-04-2017,4.548
06-04-2017,4.6
07-04-2017,4.6407
10-04-2017,4.6448
11-04-2017,4.6365
12-04-2017,4.6308
13-04-2017,4.6096
14-04-2017,4.6026
17-04-2017,4.6208
18-04-2017,4.604
19-04-2017,4.6607
20-04-2017,4.7158
21-04-2017,4.6799
24-04-2017,4.6752
25-04-2017,4.6192
26-04-2017,4.6066
27-04-2017,4.6128
28-04-2017,4.6034
02-05-2017,4.6074
03-05-2017,4.5735
04-05-2017,4.5791
05-05-2017,4.5795
08-05-2017,4.6207
09-05-2017,4.6172
10-05-2017,4.6627
11-05-2017,4.6791
12-05-2017,4.6314
15-05-2017,4.628
16-05-2017,4.6121
17-05-2017,4.5903
18-05-2017,4.6174
22-05-2017,4.7142
23-05-2017,4.6434
24-05-2017,4.6434
25-05-2017,4.6409
26-05-2017,4.632
29-05-2017,4.6021
30-05-2017,4.6056
31-05-2017,4.5971
01-06-2017,4.5447
02-06-2017,4.5568
05-06-2017,4.5526
06-06-2017,4.5365
07-06-2017,4.5778
08-06-2017,4.555
09-06-2017,4.6041
12-06-2017,4.4959
13-06-2017,4.4895
14-06-2017,4.4841
15-06-2017,4.4964
16-06-2017,4.4721
19-06-2017,4.5005
20-06-2017,4.4965
21-06-2017,4.4851
22-06-2017,4.4797
23-06-2017,4.4718
28-06-2017,4.4704
29-06-2017,4.5299
30-06-2017,4.565
03-07-2017,4.5848
04-07-2017,4.5974
05-07-2017,4.6079
06-07-2017,4.638
07-07-2017,4.705
10-07-2017,4.7075
11-07-2017,4.6578
12-07-2017,4.7006
13-07-2017,4.6444
14-07-2017,4.6268
17-07-2017,4.632
18-07-2017,4.641
19-07-2017,4.6197
20-07-2017,4.6115
21-07-2017,4.5983
24-07-2017,4.6042
25-07-2017,4.6325
26-07-2017,4.6532
27-07-2017,4.6519
28-07-2017,4.6504
31-07-2017,4.6336
01-08-2017,4.636
02-08-2017,4.6641
03-08-2017,4.6842
04-08-2017,4.6933
07-08-2017,4.6559
08-08-2017,4.6219
09-08-2017,4.614
10-08-2017,4.6177
11-08-2017,4.6057
14-08-2017,4.6128
15-08-2017,4.5931
16-08-2017,4.5698
17-08-2017,4.5573
18-08-2017,4.5468
21-08-2017,4.5551
22-08-2017,4.5364
23-08-2017,4.5083
24-08-2017,4.4932
25-08-2017,4.4721
28-08-2017,4.4745
29-08-2017,4.4597
31-08-2017,4.4752
05-09-2017,4.4752
06-09-2017,4.4649
07-09-2017,4.4999
08-09-2017,4.486
11-09-2017,4.4991
12-09-2017,4.4985
13-09-2017,4.5541
14-09-2017,4.5782
15-09-2017,4.586
18-09-2017,4.6573
19-09-2017,4.6986
20-09-2017,4.7301
21-09-2017,4.7212
22-09-2017,4.7511
25-09-2017,4.7462
26-09-2017,4.7689
27-09-2017,4.7754
28-09-2017,4.7947
29-09-2017,4.7996
02-10-2017,4.7726
03-10-2017,4.7788
04-10-2017,4.7601
05-10-2017,4.7446
06-10-2017,4.7243
09-10-2017,4.7269
10-10-2017,4.8719
11-10-2017,4.8706
12-10-2017,4.8663
13-10-2017,4.8323
16-10-2017,4.8666
17-10-2017,4.857
18-10-2017,4.8554
19-10-2017,4.8572
20-10-2017,4.8391
23-10-2017,4.8288
24-10-2017,4.891
25-10-2017,4.9107
26-10-2017,4.9371
27-10-2017,4.998
30-10-2017,5.0167
31-10-2017,4.9784
01-11-2017,5.0057
02-11-2017,5.082
03-11-2017,5.0612
06-11-2017,5.0093
07-11-2017,5.0722
08-11-2017,5.0832
09-11-2017,5.1167
10-11-2017,5.0728
13-11-2017,5.0991
14-11-2017,5.0778
15-11-2017,5.0836
16-11-2017,5.1313
17-11-2017,5.1153
20-11-2017,5.1503
21-11-2017,5.1686
22-11-2017,5.2516
23-11-2017,5.2653
24-11-2017,5.2324
27-11-2017,5.2586
28-11-2017,5.2585
29-11-2017,5.2378
30-11-2017,5.3137
01-12-2017,5.3182
04-12-2017,5.33
05-12-2017,5.2899
06-12-2017,5.2
07-12-2017,5.1775
08-12-2017,5.1808
11-12-2017,5.2117
12-12-2017,5.1404
13-12-2017,5.1253
14-12-2017,5.1392
15-12-2017,5.1691
18-12-2017,5.199
19-12-2017,5.1598
20-12-2017,5.1486
21-12-2017,5.1521
22-12-2017,5.1275
25-12-2017,5.1188
26-12-2017,5.1142
27-12-2017,5.1012
28-12-2017,5.1358
29-12-2017,5.1409
02-01-2018,5.1068
03-01-2018,5.1175
04-01-2018,5.128
05-01-2018,5.1083
08-01-2018,5.0911
09-01-2018,5.0892
10-01-2018,5.1019
11-01-2018,5.1352
12-01-2018,5.1304
15-01-2018,5.1312
16-01-2018,5.1932
17-01-2018,5.2717
18-01-2018,5.2746
19-01-2018,5.276
22-01-2018,5.2733
23-01-2018,5.3113
24-01-2018,5.3035
25-01-2018,5.3062
26-01-2018,5.3577
29-01-2018,5.3409
30-01-2018,5.3411
31-01-2018,5.3301
01-02-2018,5.3377
02-02-2018,5.3601
05-02-2018,5.3493
06-02-2018,5.3249
07-02-2018,5.2967
08-02-2018,5.2705
09-02-2018,5.3013
12-02-2018,5.3275
13-02-2018,5.2915
14-02-2018,5.2873
15-02-2018,5.289
16-02-2018,5.317
19-02-2018,5.309
20-02-2018,5.2795
21-02-2018,5.2872
22-02-2018,5.3027
23-02-2018,5.2945
26-02-2018,5.2989
27-02-2018,5.3207
28-02-2018,5.3024
01-03-2018,5.2946
02-03-2018,5.2555
05-03-2018,5.2601
06-03-2018,5.2856
07-03-2018,5.2803
08-03-2018,5.2867
09-03-2018,5.3052
12-03-2018,5.2909
13-03-2018,5.3076
14-03-2018,5.3742
15-03-2018,5.4082
16-03-2018,5.4432
19-03-2018,5.4685
20-03-2018,5.5191
21-03-2018,5.5439
22-03-2018,5.5332
23-03-2018,5.5523
