Tarih,TP_DK_JPY_A_YTL
14-03-2022,12.7233
15-03-2022,12.4947
16-03-2022,12.47
17-03-2022,12.3756
18-03-2022,12.3324
21-03-2022,12.3831
22-03-2022,12.3971
23-03-2022,12.2407
24-03-2022,12.2089
25-03-2022,12.158
28-03-2022,12.1394
29-03-2022,11.9154
30-03-2022,11.9388
31-03-2022,11.9926
01-04-2022,11.9911
04-04-2022,11.9387
05-04-2022,11.9422
06-04-2022,11.9356
07-04-2022,11.8518
08-04-2022,11.8689
11-04-2022,11.8342
12-04-2022,11.705
13-04-2022,11.6472
14-04-2022,11.5257
15-04-2022,11.6159
18-04-2022,11.529
19-04-2022,11.5239
20-04-2022,11.3835
21-04-2022,11.3901
22-04-2022,11.4188
25-04-2022,11.4409
26-04-2022,11.4763
27-04-2022,11.5282
28-04-2022,11.5345
29-04-2022,11.2845
05-05-2022,11.3342
06-05-2022,11.4044
09-05-2022,11.3919
10-05-2022,11.3888
11-05-2022,11.64
12-05-2022,11.7399
13-05-2022,11.8932
16-05-2022,11.9518
17-05-2022,12.0086
18-05-2022,12.1787
20-05-2022,12.2924
23-05-2022,12.4117
24-05-2022,12.3913
25-05-2022,12.5925
26-05-2022,12.7707
27-05-2022,12.8742
30-05-2022,12.8367
31-05-2022,12.8159
01-06-2022,12.7746
02-06-2022,12.6498
03-06-2022,12.6344
06-06-2022,12.6412
07-06-2022,12.6415
08-06-2022,12.5533
09-06-2022,12.7486
10-06-2022,12.8436
13-06-2022,12.7173
14-06-2022,12.7814
15-06-2022,12.7948
16-06-2022,12.7952
17-06-2022,12.9234
20-06-2022,12.8191
21-06-2022,12.8096
22-06-2022,12.7475
23-06-2022,12.6946
24-06-2022,12.7732
27-06-2022,12.8293
28-06-2022,12.2845
29-06-2022,12.2018
30-06-2022,12.202
01-07-2022,12.1962
04-07-2022,12.3211
05-07-2022,12.3734
06-07-2022,12.4238
07-07-2022,12.6654
08-07-2022,12.6652
13-07-2022,12.6652
14-07-2022,12.6553
18-07-2022,12.5335
19-07-2022,12.6068
20-07-2022,12.7139
21-07-2022,12.6782
22-07-2022,12.6876
25-07-2022,12.8573
26-07-2022,13.0164
27-07-2022,13.0207
28-07-2022,13.0288
29-07-2022,13.1797
01-08-2022,13.4148
02-08-2022,13.5149
03-08-2022,13.6671
04-08-2022,13.4266
05-08-2022,13.3397
08-08-2022,13.4392
09-08-2022,13.2547
10-08-2022,13.2587
11-08-2022,13.2549
12-08-2022,13.4999
15-08-2022,13.4074
16-08-2022,13.4206
17-08-2022,13.3612
18-08-2022,13.275
19-08-2022,13.2604
22-08-2022,13.1933
23-08-2022,13.1848
24-08-2022,13.1523
25-08-2022,13.2309
26-08-2022,13.2618
29-08-2022,13.2251
31-08-2022,13.0698
01-09-2022,13.0748
02-09-2022,13.0239
05-09-2022,12.9392
06-09-2022,12.9276
07-09-2022,12.8233
08-09-2022,12.5913
09-09-2022,12.6429
12-09-2022,12.7807
13-09-2022,12.7344
14-09-2022,12.7822
15-09-2022,12.6891
16-09-2022,12.6821
19-09-2022,12.7007
20-09-2022,12.7002
21-09-2022,12.7001
22-09-2022,12.6892
23-09-2022,12.7573
26-09-2022,12.8462
27-09-2022,12.7628
28-09-2022,12.7508
29-09-2022,12.7438
30-09-2022,12.7565
03-10-2022,12.7903
04-10-2022,12.7518
05-10-2022,12.7822
06-10-2022,12.8189
07-10-2022,12.7988
10-10-2022,12.7758
11-10-2022,12.7264
12-10-2022,12.7128
13-10-2022,12.6551
14-10-2022,12.6161
17-10-2022,12.5408
18-10-2022,12.4518
19-10-2022,12.424
20-10-2022,12.3912
21-10-2022,12.3607
24-10-2022,12.2759
25-10-2022,12.4207
26-10-2022,12.4488
27-10-2022,12.5956
28-10-2022,12.6901
31-10-2022,12.6901
01-11-2022,12.5067
02-11-2022,12.5742
03-11-2022,12.6068
04-11-2022,12.5301
07-11-2022,12.5499
08-11-2022,12.6161
09-11-2022,12.6535
10-11-2022,12.7267
11-11-2022,12.6635
14-11-2022,13.1501
15-11-2022,13.2393
16-11-2022,13.2938
17-11-2022,13.2972
18-11-2022,13.2868
21-11-2022,13.2589
22-11-2022,13.1232
23-11-2022,13.1111
24-11-2022,13.133
25-11-2022,13.386
28-11-2022,13.3462
29-11-2022,13.4511
30-11-2022,13.4388
01-12-2022,13.3936
02-12-2022,13.6199
05-12-2022,13.8279
06-12-2022,13.7375
07-12-2022,13.5761
08-12-2022,13.5027
09-12-2022,13.5769
12-12-2022,13.6452
13-12-2022,13.5821
14-12-2022,13.5041
15-12-2022,13.7467
16-12-2022,13.6308
19-12-2022,13.5516
20-12-2022,13.6613
21-12-2022,14.0302
22-12-2022,14.1096
23-12-2022,14.0961
26-12-2022,14.0355
27-12-2022,14.0059
28-12-2022,14.0034
29-12-2022,13.9238
30-12-2022,13.9478
02-01-2023,14.1301
03-01-2023,14.2555
04-01-2023,14.3082
05-01-2023,14.3106
06-01-2023,14.1078
09-01-2023,13.9255
10-01-2023,14.1415
11-01-2023,14.1775
12-01-2023,14.1231
13-01-2023,14.2522
16-01-2023,14.5637
17-01-2023,14.5939
18-01-2023,14.5433
19-01-2023,14.4363
20-01-2023,14.5982
23-01-2023,14.4774
24-01-2023,14.4128
25-01-2023,14.4001
26-01-2023,14.4036
27-01-2023,14.45
30-01-2023,14.4221
31-01-2023,14.4293
01-02-2023,14.38
02-02-2023,14.4197
03-02-2023,14.5552
06-02-2023,14.5842
07-02-2023,14.2209
08-02-2023,14.2135
09-02-2023,14.3373
10-02-2023,14.3249
13-02-2023,14.3428
14-02-2023,14.1734
15-02-2023,14.2153
16-02-2023,14.0816
17-02-2023,14.0348
20-02-2023,13.9315
21-02-2023,14.0164
22-02-2023,13.9678
23-02-2023,13.9471
24-02-2023,13.9448
27-02-2023,13.928
28-02-2023,13.8061
01-03-2023,13.7694
02-03-2023,13.8551
03-03-2023,13.7778
06-03-2023,13.8036
07-03-2023,13.8569
08-03-2023,13.8698
09-03-2023,13.7223
10-03-2023,13.8432
13-03-2023,13.8184
14-03-2023,14.1274
15-03-2023,14.1161
16-03-2023,14.0859
17-03-2023,14.247
20-03-2023,14.2348
