Tarih,TP_DK_JPY_S_YTL
20-09-2016,2.93
21-09-2016,2.935
22-09-2016,2.9382
23-09-2016,2.9389
26-09-2016,2.9339
27-09-2016,2.9802
28-09-2016,2.9684
29-09-2016,2.9689
30-09-2016,2.9646
03-10-2016,2.9813
04-10-2016,2.9754
05-10-2016,2.9706
06-10-2016,2.9776
07-10-2016,2.9563
10-10-2016,2.9517
11-10-2016,2.975
12-10-2016,2.9789
13-10-2016,2.9857
14-10-2016,2.9933
17-10-2016,2.9742
18-10-2016,2.9858
19-10-2016,2.9872
20-10-2016,2.9879
21-10-2016,2.9704
24-10-2016,2.9732
25-10-2016,2.9694
26-10-2016,2.9581
27-10-2016,2.9662
28-10-2016,2.9734
31-10-2016,2.9734
01-11-2016,2.9681
02-11-2016,2.9651
03-11-2016,3.0172
04-11-2016,3.0374
07-11-2016,3.0539
08-11-2016,3.0311
09-11-2016,3.0488
10-11-2016,3.1027
11-11-2016,3.0345
14-11-2016,3.0746
15-11-2016,3.0548
16-11-2016,3.0363
17-11-2016,3.0318
18-11-2016,3.0486
21-11-2016,3.0748
22-11-2016,3.0585
23-11-2016,3.0425
24-11-2016,3.0597
25-11-2016,3.0236
28-11-2016,3.0563
29-11-2016,3.0622
30-11-2016,3.054
01-12-2016,3.038
02-12-2016,3.0318
05-12-2016,3.092
06-12-2016,3.1119
07-12-2016,3.0913
08-12-2016,3.0182
09-12-2016,2.9796
12-12-2016,3.0261
13-12-2016,3.0497
14-12-2016,3.0237
15-12-2016,3.036
16-12-2016,2.9939
19-12-2016,2.9698
20-12-2016,2.9904
21-12-2016,2.9893
22-12-2016,2.9993
23-12-2016,2.9929
26-12-2016,3.0006
27-12-2016,3.005
28-12-2016,3.0081
29-12-2016,3.016
30-12-2016,3.0464
02-01-2017,3.0224
03-01-2017,3.0264
04-01-2017,3.042
05-01-2017,3.0492
06-01-2017,3.1018
09-01-2017,3.1268
10-01-2017,3.1739
11-01-2017,3.2611
12-01-2017,3.3296
13-01-2017,3.3798
16-01-2017,3.3263
17-01-2017,3.3097
18-01-2017,3.3567
19-01-2017,3.3471
20-01-2017,3.3234
23-01-2017,3.3338
24-01-2017,3.3318
25-01-2017,3.3261
26-01-2017,3.3623
27-01-2017,3.3787
30-01-2017,3.3824
31-01-2017,3.3559
01-02-2017,3.3452
02-02-2017,3.3441
03-02-2017,3.3316
06-02-2017,3.3217
07-02-2017,3.2809
08-02-2017,3.3198
09-02-2017,3.345
10-02-2017,3.3127
13-02-2017,3.2475
14-02-2017,3.257
15-02-2017,3.2304
16-02-2017,3.1986
17-02-2017,3.2405
20-02-2017,3.2548
21-02-2017,3.2145
22-02-2017,3.1988
23-02-2017,3.2021
24-02-2017,3.1713
27-02-2017,3.184
28-02-2017,3.2107
01-03-2017,3.225
02-03-2017,3.2109
03-03-2017,3.2369
06-03-2017,3.2694
07-03-2017,3.2767
08-03-2017,3.2475
09-03-2017,3.2637
10-03-2017,3.2857
13-03-2017,3.2604
14-03-2017,3.2767
15-03-2017,3.2688
16-03-2017,3.2661
17-03-2017,3.252
20-03-2017,3.1971
21-03-2017,3.2298
22-03-2017,3.2182
23-03-2017,3.2694
24-03-2017,3.2658
27-03-2017,3.2687
28-03-2017,3.2728
29-03-2017,3.2843
30-03-2017,3.2939
31-03-2017,3.2882
03-04-2017,3.2649
04-04-2017,3.2785
05-04-2017,3.3125
06-04-2017,3.3326
07-04-2017,3.363
10-04-2017,3.3776
11-04-2017,3.3626
12-04-2017,3.3733
13-04-2017,3.3664
14-04-2017,3.3667
17-04-2017,3.394
18-04-2017,3.3902
19-04-2017,3.398
20-04-2017,3.378
21-04-2017,3.3513
24-04-2017,3.3477
25-04-2017,3.2747
26-04-2017,3.2595
27-04-2017,3.2349
28-04-2017,3.2096
02-05-2017,3.2017
03-05-2017,3.1635
04-05-2017,3.1619
05-05-2017,3.1526
08-05-2017,3.1825
09-05-2017,3.1637
10-05-2017,3.1734
11-05-2017,3.1733
12-05-2017,3.1452
15-05-2017,3.1667
16-05-2017,3.1452
17-05-2017,3.136
18-05-2017,3.1753
22-05-2017,3.2752
23-05-2017,3.2108
24-05-2017,3.2206
25-05-2017,3.2001
26-05-2017,3.1962
29-05-2017,3.2231
30-05-2017,3.2248
31-05-2017,3.2249
01-06-2017,3.2
02-06-2017,3.1925
05-06-2017,3.1765
06-06-2017,3.1853
07-06-2017,3.2361
08-06-2017,3.2309
09-06-2017,3.2345
12-06-2017,3.2039
13-06-2017,3.2117
14-06-2017,3.2074
15-06-2017,3.2019
16-06-2017,3.2057
19-06-2017,3.1694
20-06-2017,3.1674
21-06-2017,3.1687
22-06-2017,3.1915
23-06-2017,3.1782
28-06-2017,3.1594
29-06-2017,3.1526
30-06-2017,3.1304
03-07-2017,3.1535
04-07-2017,3.1413
05-07-2017,3.1508
06-07-2017,3.1663
07-07-2017,3.2108
10-07-2017,3.2052
11-07-2017,3.1693
12-07-2017,3.1892
13-07-2017,3.1882
14-07-2017,3.1665
17-07-2017,3.1581
18-07-2017,3.1565
19-07-2017,3.1568
20-07-2017,3.1608
21-07-2017,3.1579
24-07-2017,3.1746
25-07-2017,3.2121
26-07-2017,3.2109
27-07-2017,3.1944
28-07-2017,3.1819
31-07-2017,3.1877
01-08-2017,3.1983
02-08-2017,3.2005
03-08-2017,3.2002
04-08-2017,3.2122
07-08-2017,3.219
08-08-2017,3.1986
09-08-2017,3.2054
10-08-2017,3.2355
11-08-2017,3.2291
14-08-2017,3.2616
15-08-2017,3.2276
16-08-2017,3.2093
17-08-2017,3.1972
18-08-2017,3.2098
21-08-2017,3.2418
22-08-2017,3.2332
23-08-2017,3.212
24-08-2017,3.2097
25-08-2017,3.1948
28-08-2017,3.1854
29-08-2017,3.1682
31-08-2017,3.1827
05-09-2017,3.1827
06-09-2017,3.1576
07-09-2017,3.1756
08-09-2017,3.1528
11-09-2017,3.1789
12-09-2017,3.1436
13-09-2017,3.1368
14-09-2017,3.1341
15-09-2017,3.1403
18-09-2017,3.1059
19-09-2017,3.1151
20-09-2017,3.1397
21-09-2017,3.1344
22-09-2017,3.1322
25-09-2017,3.126
26-09-2017,3.1482
27-09-2017,3.1763
28-09-2017,3.174
29-09-2017,3.1805
02-10-2017,3.1704
03-10-2017,3.1816
04-10-2017,3.1786
05-10-2017,3.1808
06-10-2017,3.1819
09-10-2017,3.2038
10-10-2017,3.2949
11-10-2017,3.2875
12-10-2017,3.2875
13-10-2017,3.2588
16-10-2017,3.2683
17-10-2017,3.2701
18-10-2017,3.2714
19-10-2017,3.2759
20-10-2017,3.262
23-10-2017,3.2442
24-10-2017,3.2626
25-10-2017,3.2777
26-10-2017,3.2851
27-10-2017,3.3268
30-10-2017,3.3598
31-10-2017,3.3314
01-11-2017,3.3491
02-11-2017,3.3556
03-11-2017,3.3524
06-11-2017,3.3626
07-11-2017,3.394
08-11-2017,3.3889
09-11-2017,3.4271
10-11-2017,3.4099
13-11-2017,3.4203
14-11-2017,3.4237
15-11-2017,3.4138
16-11-2017,3.4556
17-11-2017,3.4325
20-11-2017,3.4608
21-11-2017,3.4818
22-11-2017,3.5278
23-11-2017,3.5479
24-11-2017,3.5368
27-11-2017,3.5471
28-11-2017,3.5445
29-11-2017,3.5384
30-11-2017,3.558
01-12-2017,3.5215
04-12-2017,3.5112
05-12-2017,3.4857
06-12-2017,3.4461
07-12-2017,3.4493
08-12-2017,3.4418
11-12-2017,3.4102
12-12-2017,3.3889
13-12-2017,3.3882
14-12-2017,3.4003
15-12-2017,3.4138
18-12-2017,3.4547
19-12-2017,3.4332
20-12-2017,3.4209
21-12-2017,3.4036
22-12-2017,3.3817
25-12-2017,3.376
26-12-2017,3.3769
27-12-2017,3.3704
28-12-2017,3.3882
29-12-2017,3.3918
02-01-2018,3.3642
03-01-2018,3.3643
04-01-2018,3.3638
05-01-2018,3.354
08-01-2018,3.323
09-01-2018,3.3224
10-01-2018,3.3434
11-01-2018,3.4011
12-01-2018,3.409
15-01-2018,3.3973
16-01-2018,3.4103
17-01-2018,3.4606
18-01-2018,3.4581
19-01-2018,3.4269
22-01-2018,3.4278
23-01-2018,3.454
24-01-2018,3.4336
25-01-2018,3.4371
26-01-2018,3.4462
29-01-2018,3.439
30-01-2018,3.4823
31-01-2018,3.4921
01-02-2018,3.4671
02-02-2018,3.4417
05-02-2018,3.4247
06-02-2018,3.4396
07-02-2018,3.4794
