Tarih,TP_DK_USD_A_YTL
14-03-2022,14.9042
15-03-2022,14.7624
16-03-2022,14.7503
17-03-2022,14.6758
18-03-2022,14.6697
21-03-2022,14.764
22-03-2022,14.816
23-03-2022,14.8041
24-03-2022,14.8063
25-03-2022,14.8234
28-03-2022,14.8068
29-03-2022,14.8221
30-03-2022,14.7933
31-03-2022,14.6458
01-04-2022,14.6371
04-04-2022,14.6609
05-04-2022,14.6862
06-04-2022,14.6955
07-04-2022,14.7176
08-04-2022,14.7289
11-04-2022,14.7213
12-04-2022,14.7162
13-04-2022,14.6633
14-04-2022,14.5604
15-04-2022,14.5933
18-04-2022,14.6181
19-04-2022,14.6252
20-04-2022,14.6343
21-04-2022,14.6424
22-04-2022,14.6605
25-04-2022,14.7068
26-04-2022,14.7439
27-04-2022,14.767
28-04-2022,14.7962
29-04-2022,14.7798
05-05-2022,14.7852
06-05-2022,14.8313
09-05-2022,14.8978
10-05-2022,14.974
11-05-2022,15.1926
12-05-2022,15.2882
13-05-2022,15.3526
16-05-2022,15.4378
17-05-2022,15.5639
18-05-2022,15.7886
20-05-2022,15.9205
23-05-2022,15.9249
24-05-2022,15.8494
25-05-2022,16.0846
26-05-2022,16.267
27-05-2022,16.3681
30-05-2022,16.3479
31-05-2022,16.3562
01-06-2022,16.3876
02-06-2022,16.4127
03-06-2022,16.439
06-06-2022,16.4765
07-06-2022,16.5588
08-06-2022,16.7084
09-06-2022,17.0925
10-06-2022,17.1985
13-06-2022,17.0589
14-06-2022,17.2344
15-06-2022,17.2343
16-06-2022,17.2568
17-06-2022,17.288
20-06-2022,17.2905
21-06-2022,17.3113
22-06-2022,17.3168
23-06-2022,17.3301
24-06-2022,17.347
27-06-2022,17.3478
28-06-2022,16.646
29-06-2022,16.6189
30-06-2022,16.669
01-07-2022,16.6614
04-07-2022,16.7155
05-07-2022,16.7935
06-07-2022,16.9369
07-07-2022,17.1818
08-07-2022,17.2601
13-07-2022,17.2601
14-07-2022,17.3913
18-07-2022,17.4581
19-07-2022,17.4635
20-07-2022,17.5425
21-07-2022,17.5605
22-07-2022,17.6282
25-07-2022,17.711
26-07-2022,17.8011
27-07-2022,17.8335
28-07-2022,17.8701
29-07-2022,17.9044
01-08-2022,17.8939
02-08-2022,17.9254
03-08-2022,17.9327
04-08-2022,17.9358
05-08-2022,17.935
08-08-2022,17.9362
09-08-2022,17.9393
10-08-2022,17.9319
11-08-2022,17.9308
12-08-2022,17.9356
15-08-2022,17.9366
16-08-2022,17.9411
17-08-2022,17.942
18-08-2022,17.9411
19-08-2022,17.9688
22-08-2022,18.0767
23-08-2022,18.0988
24-08-2022,18.1018
25-08-2022,18.1176
26-08-2022,18.1466
29-08-2022,18.1564
31-08-2022,18.1648
01-09-2022,18.1704
02-09-2022,18.1805
05-09-2022,18.2009
06-09-2022,18.205
07-09-2022,18.2048
08-09-2022,18.214
09-09-2022,18.2195
12-09-2022,18.2189
13-09-2022,18.2187
14-09-2022,18.2205
15-09-2022,18.2321
16-09-2022,18.2427
19-09-2022,18.2474
20-09-2022,18.2658
21-09-2022,18.2786
22-09-2022,18.2949
23-09-2022,18.3401
26-09-2022,18.3702
27-09-2022,18.4266
28-09-2022,18.4509
29-09-2022,18.4862
30-09-2022,18.5038
03-10-2022,18.5187
04-10-2022,18.5397
05-10-2022,18.5447
06-10-2022,18.555
07-10-2022,18.5589
10-10-2022,18.5592
11-10-2022,18.5581
12-10-2022,18.5615
13-10-2022,18.5664
14-10-2022,18.5656
17-10-2022,18.5596
18-10-2022,18.5663
19-10-2022,18.5663
20-10-2022,18.5661
21-10-2022,18.5687
24-10-2022,18.5741
25-10-2022,18.583
26-10-2022,18.5825
27-10-2022,18.5865
28-10-2022,18.588
31-10-2022,18.588
01-11-2022,18.5915
02-11-2022,18.5956
03-11-2022,18.5981
04-11-2022,18.5972
07-11-2022,18.5936
08-11-2022,18.5833
09-11-2022,18.5803
10-11-2022,18.5791
11-11-2022,18.5793
14-11-2022,18.5115
15-11-2022,18.5819
16-11-2022,18.5864
17-11-2022,18.5916
18-11-2022,18.5959
21-11-2022,18.5945
22-11-2022,18.5979
23-11-2022,18.6033
24-11-2022,18.6062
25-11-2022,18.6045
28-11-2022,18.6071
29-11-2022,18.6069
30-11-2022,18.614
01-12-2022,18.6194
02-12-2022,18.6123
05-12-2022,18.6103
06-12-2022,18.613
07-12-2022,18.6143
08-12-2022,18.6166
09-12-2022,18.6202
12-12-2022,18.6208
13-12-2022,18.6199
14-12-2022,18.6246
15-12-2022,18.6266
16-12-2022,18.6254
19-12-2022,18.6268
20-12-2022,18.6312
21-12-2022,18.6381
22-12-2022,18.6432
23-12-2022,18.6522
26-12-2022,18.6592
27-12-2022,18.6649
28-12-2022,18.6813
29-12-2022,18.6964
30-12-2022,18.6966
02-01-2023,18.6983
03-01-2023,18.7029
04-01-2023,18.7105
05-01-2023,18.7194
06-01-2023,18.7387
09-01-2023,18.7498
10-01-2023,18.7538
11-01-2023,18.7555
12-01-2023,18.7581
13-01-2023,18.7608
16-01-2023,18.7592
17-01-2023,18.7681
18-01-2023,18.7691
