Tarih,TP_DK_USD_S_YTL
20-09-2016,2.9793
21-09-2016,2.9794
22-09-2016,2.9792
23-09-2016,2.9521
26-09-2016,2.9527
27-09-2016,2.99
28-09-2016,2.9763
29-09-2016,2.9818
30-09-2016,3.0013
03-10-2016,3.0058
04-10-2016,3.009
05-10-2016,3.0348
06-10-2016,3.0592
07-10-2016,3.0561
10-10-2016,3.056
11-10-2016,3.064
12-10-2016,3.0864
13-10-2016,3.0861
14-10-2016,3.1023
17-10-2016,3.0922
18-10-2016,3.1013
19-10-2016,3.0984
20-10-2016,3.0841
21-10-2016,3.0731
24-10-2016,3.0791
25-10-2016,3.078
26-10-2016,3.0835
27-10-2016,3.0831
28-10-2016,3.1054
31-10-2016,3.1054
01-11-2016,3.108
02-11-2016,3.1037
03-11-2016,3.1173
04-11-2016,3.1181
07-11-2016,3.1405
08-11-2016,3.1589
09-11-2016,3.1793
10-11-2016,3.1922
11-11-2016,3.2105
14-11-2016,3.2646
15-11-2016,3.2846
16-11-2016,3.2772
17-11-2016,3.3115
18-11-2016,3.3164
21-11-2016,3.3896
22-11-2016,3.3803
23-11-2016,3.3644
24-11-2016,3.3885
25-11-2016,3.4108
28-11-2016,3.4465
29-11-2016,3.4241
30-11-2016,3.4261
01-12-2016,3.4236
02-12-2016,3.4546
05-12-2016,3.513
06-12-2016,3.5408
07-12-2016,3.5165
08-12-2016,3.4369
09-12-2016,3.373
12-12-2016,3.4586
13-12-2016,3.5236
14-12-2016,3.4784
15-12-2016,3.4848
16-12-2016,3.522
19-12-2016,3.5003
20-12-2016,3.501
21-12-2016,3.518
22-12-2016,3.5163
23-12-2016,3.5118
26-12-2016,3.514
27-12-2016,3.5104
28-12-2016,3.5198
29-12-2016,3.5393
30-12-2016,3.5382
02-01-2017,3.5255
03-01-2017,3.5402
04-01-2017,3.5802
05-01-2017,3.5829
06-01-2017,3.5999
09-01-2017,3.6199
10-01-2017,3.7087
11-01-2017,3.7688
12-01-2017,3.8571
13-01-2017,3.8499
16-01-2017,3.8062
17-01-2017,3.7684
18-01-2017,3.7894
19-01-2017,3.784
20-01-2017,3.8009
23-01-2017,3.8244
24-01-2017,3.7746
25-01-2017,3.759
26-01-2017,3.8102
27-01-2017,3.8412
30-01-2017,3.8848
31-01-2017,3.8393
01-02-2017,3.7942
02-02-2017,3.7814
03-02-2017,3.7404
06-02-2017,3.7489
07-02-2017,3.6851
08-02-2017,3.7162
09-02-2017,3.7478
10-02-2017,3.7114
13-02-2017,3.6815
14-02-2017,3.6935
15-02-2017,3.656
16-02-2017,3.6528
17-02-2017,3.677
20-02-2017,3.6728
21-02-2017,3.6277
22-02-2017,3.6251
23-02-2017,3.6169
24-02-2017,3.5811
27-02-2017,3.5753
28-02-2017,3.5946
01-03-2017,3.6143
02-03-2017,3.6378
03-03-2017,3.6882
06-03-2017,3.7282
07-03-2017,3.7181
08-03-2017,3.6908
09-03-2017,3.7097
10-03-2017,3.7589
13-03-2017,3.7532
14-03-2017,3.7462
15-03-2017,3.7526
16-03-2017,3.7356
17-03-2017,3.678
20-03-2017,3.6123
21-03-2017,3.6326
22-03-2017,3.617
23-03-2017,3.6322
24-03-2017,3.6199
27-03-2017,3.625
28-03-2017,3.5996
29-03-2017,3.6251
30-03-2017,3.6481
31-03-2017,3.6452
03-04-2017,3.6427
04-04-2017,3.6441
05-04-2017,3.6496
06-04-2017,3.6834
07-04-2017,3.7148
10-04-2017,3.7275
11-04-2017,3.733
12-04-2017,3.722
13-04-2017,3.6825
14-04-2017,3.6631
17-04-2017,3.6867
18-04-2017,3.6646
19-04-2017,3.6904
20-04-2017,3.6689
21-04-2017,3.6445
24-04-2017,3.6457
25-04-2017,3.599
26-04-2017,3.5893
27-04-2017,3.5915
28-04-2017,3.5647
02-05-2017,3.5568
03-05-2017,3.5411
04-05-2017,3.538
05-05-2017,3.5492
08-05-2017,3.566
09-05-2017,3.554
10-05-2017,3.5993
11-05-2017,3.6048
12-05-2017,3.5801
15-05-2017,3.5925
16-05-2017,3.5625
17-05-2017,3.5519
18-05-2017,3.5611
22-05-2017,3.6193
23-05-2017,3.5676
24-05-2017,3.572
25-05-2017,3.5709
26-05-2017,3.565
29-05-2017,3.5715
30-05-2017,3.5814
31-05-2017,3.5707
01-06-2017,3.5398
02-06-2017,3.5376
05-06-2017,3.5344
06-06-2017,3.5123
07-06-2017,3.538
08-06-2017,3.5236
09-06-2017,3.5476
12-06-2017,3.5281
13-06-2017,3.5254
14-06-2017,3.5232
15-06-2017,3.5199
16-06-2017,3.5093
19-06-2017,3.5187
20-06-2017,3.5083
21-06-2017,3.5278
22-06-2017,3.5413
23-06-2017,3.5243
28-06-2017,3.5063
29-06-2017,3.5274
30-06-2017,3.5135
03-07-2017,3.5232
04-07-2017,3.5369
05-07-2017,3.5555
06-07-2017,3.5853
