Tarih,USD/TRY
31-10-2024,34.2711
01-11-2024,34.2403
04-11-2024,34.2852
05-11-2024,34.3374
06-11-2024,34.3438
07-11-2024,34.2456
08-11-2024,34.238
11-11-2024,34.3232
12-11-2024,34.3487
13-11-2024,34.3746
14-11-2024,34.3736
15-11-2024,34.3614
18-11-2024,34.3951
19-11-2024,34.4941
20-11-2024,34.5784
21-11-2024,34.4992
22-11-2024,34.5115
25-11-2024,34.5263
26-11-2024,34.5806
27-11-2024,34.6349
28-11-2024,34.6351
29-11-2024,34.632
02-12-2024,34.6417
03-12-2024,34.7056
04-12-2024,34.7391
05-12-2024,34.7498
06-12-2024,34.7377
